experiment,fold,seed,group,snr_db,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_repeats
501,d15_cfg22,3407,fold_test,clean,67.1721677074041,0.0,0.6447276861069964,0.0,0.677487383882536,0.0,1
501,d15_cfg22,3407,fold_test,10.0,66.66666666666667,0.3442116236333656,0.616345193181593,0.0031220634455868,0.6628246652651409,0.0030812584754228256,3
501,d15_cfg22,3407,fold_test,5.0,65.41778174249183,0.042052142800266194,0.538070441860392,0.0010990299391712712,0.615541140434249,0.0005155697958828005,3
501,d15_cfg22,3407,fold_test,0.0,66.90454950936663,0.2185093436916258,0.435888654537822,0.002609614415881613,0.5572066921517955,0.0017743739912882536,3
501,d15_cfg22,3407,config_2_1_mix,clean,98.7048398091343,0.0,0.9869669083007697,0.0,0.9870406706112024,0.0,1
501,d15_cfg22,3407,config_2_1_mix,10.0,95.79640990683934,0.16066957082175445,0.9578315157119327,0.0016210370630768463,0.9580004480433145,0.0016085338278218281,3
501,d15_cfg22,3407,config_2_1_mix,5.0,62.14496705294251,0.2317209504018505,0.5517837162798501,0.002498295293051675,0.5644309978446617,0.0024187120285736083,3
501,d15_cfg22,3407,config_2_1_mix,0.0,53.7605089752329,0.1606695708217578,0.3735516814554714,0.0022585968386468484,0.39649600908039045,0.00197376967954618,3
501,d15_cfg22,3407,config_2_2_mix,clean,67.1721677074041,0.0,0.6447276861069964,0.0,0.677487383882536,0.0,1
501,d15_cfg22,3407,config_2_2_mix,10.0,66.66666666666667,0.11125951194689106,0.6159595224483889,0.0013870238695462664,0.6626414134590218,0.0011758246689995578,3
501,d15_cfg22,3407,config_2_2_mix,5.0,65.06095747844186,0.16820857120108484,0.5306621625223551,0.004147525453130698,0.6100321127902213,0.002977329199001598,3
501,d15_cfg22,3407,config_2_2_mix,0.0,67.14243235206662,0.29436499960189255,0.4399217932385837,0.007821682112116153,0.5603768418151907,0.005708984757422226,3
501,d15_cfg22,4096,fold_test,clean,69.22390722569135,0.0,0.67613121063593,0.0,0.7002930030674053,0.0,1
501,d15_cfg22,4096,fold_test,10.0,65.95301813856675,0.3737676208735193,0.6432706589154701,0.003775127419378176,0.6687473551405602,0.0036105412903878263,3
501,d15_cfg22,4096,fold_test,5.0,57.32976509069283,0.6922656394185464,0.5429996046298816,0.006403214550555808,0.5823580996212446,0.006465358351678261,3
501,d15_cfg22,4096,fold_test,0.0,65.29884032114184,0.26261554761605654,0.5136124074379155,0.006614953696971244,0.6007084633505323,0.0047747950774743265,3
501,d15_cfg22,4096,config_2_1_mix,clean,99.93183367416496,0.0,0.9993148935236189,0.0,0.9993183698495153,0.0,1
501,d15_cfg22,4096,config_2_1_mix,10.0,90.09316064530789,0.3065380041634157,0.900888956128116,0.0030712198384028437,0.9007420242340145,0.0030837262656121635,3
501,d15_cfg22,4096,config_2_1_mix,5.0,79.32288116337196,0.22493739915046151,0.7905988886510066,0.002384171832276616,0.7889195704399271,0.002436887963799964,3
501,d15_cfg22,4096,config_2_1_mix,0.0,91.20654396728015,0.7651651097697219,0.9101576698734064,0.007900435983053037,0.9110945101600274,0.007798165044439887,3
501,d15_cfg22,4096,config_2_2_mix,clean,69.22390722569135,0.0,0.67613121063593,0.0,0.7002930030674053,0.0,1
501,d15_cfg22,4096,config_2_2_mix,10.0,65.86381207255427,0.4849689690841552,0.6425713853439347,0.004251975233320748,0.6679139825049268,0.004567108439682579,3
501,d15_cfg22,4096,config_2_2_mix,5.0,57.5676479333928,0.93654568825594,0.5447795596178141,0.008814915158764744,0.5844333825819307,0.008750858498083419,3
501,d15_cfg22,4096,config_2_2_mix,0.0,65.29884032114184,0.1927071275173318,0.513664291439169,0.0022129492908137915,0.6007417344882127,0.0019043448413200992,3
501,d16_cfg21,2026,fold_test,clean,92.02834366696192,0.0,0.9116459368087149,0.0,0.9224856321015776,0.0,1
501,d16_cfg21,2026,fold_test,10.0,90.81783289046354,0.3983093464196049,0.8987100414592873,0.00411571362282826,0.9108604500206376,0.003784430057055156,3
