experiment,fold,seed,accuracy_pct,macro_f1,weighted_f1,n_test_samples,decision_threshold,source_server,source_path,copied_path,sha256
502,d16_cfg21,3407,93.53410097431355,0.9265799645625417,0.9365316133189597,1129,0.94,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/502/logs/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,raw/502/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,f27730b20d79ce193fd734cc77340e1938bff83a4fdaca45849c990b36c676c4
502,d16_cfg21,4096,92.20549158547388,0.9133954909030049,0.9241409397926914,1129,0.8999999999999999,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/502/logs/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,raw/502/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,e3adae4bfa5f85408d5b8bd9844f0eaeaa17810d34042063e16c08902958a0cb
502,d17_cfg21,2026,85.8540925266904,0.8483780791468531,0.8640239728299554,1124,0.8999999999999999,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/502/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/502/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,dd5fe98851459f62e7c145edd2ad087dfe8c131a8aea1bbcb0d13a476e874e6e
502,d17_cfg21,3407,92.34875444839858,0.9143013177865724,0.9254845502877712,1124,0.8099999999999999,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/502/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/502/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,b3a4be4bcb5a8ded0163d39a2838ecb8480e74aba81f94c506187dc2dd187e23
502,d17_cfg21,4096,89.1459074733096,0.8814899317258664,0.8951898583124888,1124,0.48999999999999994,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/502/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/502/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,f443726c83d4263629a488fa8631002d5466e466f4cb9600097436719b25b937
503,d15_cfg22,2026,71.00802854594113,0.649513942000125,0.6982529522946149,1121,0.6399999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/503/logs/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,raw/503/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,1f9876c759ae09014ad99d68d35f14b9b805cbb3593a79f236dc79f8914e4329
503,d15_cfg22,3407,66.99375557537913,0.5899926454306772,0.6505569714330365,1121,0.69,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/503/logs/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,raw/503/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,52f195012468173a075b145113e1defbe4aa57156b120a38d8be9355fa58fbbe
503,d15_cfg22,4096,67.70740410347904,0.6027064389044229,0.6602071622010988,1121,0.8799999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/503/logs/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,raw/503/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,48e947e8050c43ebc82a989cd852ae5fab51c10a0622565b3188771a1256a4b6
503,d16_cfg21,2026,92.55978742249779,0.9171245805369128,0.9275225558937352,1129,0.8699999999999999,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/503/logs/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,raw/503/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,c35985e05ef74e087a31a4991e6f3954d576976254446a08aee7f92d6e703ec7
503,d16_cfg21,3407,98.75996457041629,0.9853907867494824,0.9876197719816545,1129,0.8899999999999999,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/503/logs/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,raw/503/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,0e7ed9f41d2d3bce809ba7398510fd0d39c6489d84096737facaafccae445e1d
503,d16_cfg21,4096,92.47121346324181,0.9162957477559515,0.9267104387790652,1129,0.71,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/503/logs/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,raw/503/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,3e7fc320b0e77e57c8194db0a3d3c9e8fd6c7b09263ba5b07a4038ae3273ac06
503,d17_cfg21,2026,92.43772241992883,0.9155713953695939,0.926439195137371,1124,0.9099999999999999,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/503/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/503/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,d45d09066c44edb8076c09acec4ffa762fda8f53856367c00b687f65f6874c91
503,d17_cfg21,3407,94.21708185053382,0.9345743256615326,0.9434600405284382,1124,0.63,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/503/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/503/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,7cabbf47cde27329dd240ccd7e82d74384c9fd19370342acd88af968124745aa
503,d17_cfg21,4096,92.17081850533808,0.9127587812760192,0.923895817087847,1124,0.37999999999999995,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/503/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/503/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,e30ba3fdcdea2821e8f10d8c16c6968d833162fb9d82977917a512d60d05b1b3
